day,entity,hours,humidity_max,ingestion_id,ingestion_loaded_at,latitude,longitude,peak_hour,provider,record_ts,source_key,temp_max,temp_mean,temp_min
2026-09-04,daily_weather,24,89,f062785c-6755-569f-8e82-c3617e86e8a6,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-04T18:00,open_meteo,2026-09-04,-23.514938|-46.610504|2026-09-04,28.5,20.8875,16.6
2026-09-05,daily_weather,24,97,db64252c-46f0-58c4-98e9-27aa15689c7d,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-05T17:00,open_meteo,2026-09-05,-23.514938|-46.610504|2026-09-05,22.5,17.825,15.6
2026-09-06,daily_weather,24,95,abe7255b-4228-57f0-92e5-d2131e22f4f6,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-06T00:00,open_meteo,2026-09-06,-23.514938|-46.610504|2026-09-06,15.9,13.229166666666666,11
2026-09-07,daily_weather,24,94,c42b4c70-29ab-56cc-b474-bb92c84f63af,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-07T07:00,open_meteo,2026-09-07,-23.514938|-46.610504|2026-09-07,9.9,11.3375,10
2026-09-08,daily_weather,24,96,54c38890-5641-54a9-bd97-77ab4336ed7e,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-08T16:00,open_meteo,2026-09-08,-23.514938|-46.610504|2026-09-08,20.2,14.7875,11.6
2026-09-09,daily_weather,24,99,c36be65f-5a4f-596a-8eff-80b546a3e5de,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-09T16:00,open_meteo,2026-09-09,-23.514938|-46.610504|2026-09-09,24.3,17.933333333333334,14.2
2026-09-10,daily_weather,24,98,46d1a5e9-17da-5a2f-b890-61ec62d7ddb5,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-10T15:00,open_meteo,2026-09-10,-23.514938|-46.610504|2026-09-10,25.9,19.999999999999996,16.8
2026-09-11,daily_weather,24,95,1a3b2c77-b428-571c-8afb-87a745d67cd6,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-11T15:00,open_meteo,2026-09-11,-23.514938|-46.610504|2026-09-11,25.6,21.883333333333336,18.8
2026-09-12,daily_weather,24,95,705beb28-b176-57a6-8bdb-73728dd87ddf,2026-09-06T14:27:27Z,-23.514938,-46.610504,2026-09-12T17:00,open_meteo,2026-09-12,-23.514938|-46.610504|2026-09-12,25.9,22.00833333333333,15.9
